grams,count,sentiment
@squawkcnbc interview discussing,19,-0.0210526315
a great time,19,0.5333333374
because of the,19,-0.08181818101
we need you,19,0.07741935527
a long time,19,-0.02068965497
was an honor,19,0.2263157932
of the worst,19,-0.4526315802
is running for,19,0.3210526383
of the people,19,-0.08928571402
into the u.s.,19,-0.08095238358
making america great,19,0.3894736892
in the great,19,0.3347826121
"jobs, jobs, jobs!",19,0.08000000082
"together, we are",19,0.3263157955
sure to tune,18,0.1944444478
for a great,18,0.4055555628
to the white,18,0.1611111143
the state of,18,-0.1333333361
the way to,18,0.1210526322
it is the,18,-0.08888889021
knows how to,18,0.2444444481
take care of,18,0.194736845
run for president.,18,0.06666666752
the same time,18,-0.05238095245
in favor of,18,-0.233333336
you to our,18,0.3812500057
in the last,18,-0.01111110962
based on the,18,-0.2421052628
we are all,18,0.3899999991
honor to be,18,0.3388888964
thank you,18,0.3134069437
up the great,18,0.5666666693
can't wait for,18,0.3055555605
donald trump for,18,0.02105263189
paid for by,18,-0.4166666704
complete and total,18,0.1722222264
the media is,18,-0.3722222298
kim jong un,18,0.143478262
is strong on,18,0.4055555612
be on the,17,0.02777778109
the miss universe,17,0.1944444424
so proud of,17,0.4705882357
and i will,17,0.2388888908
i am very,17,0.3764705921
at trump tower,17,0.1157894762
in new hampshire,17,0.202941178
that he is,17,-0.1444444458
they want to,17,-0.0944444442
not going to,17,-0.235294119
should never have,17,-0.2647058872
when it comes,17,-0.1105263155
to say that,17,-0.2411764672
trump international golf,17,0.4941176514
happy birthday to,17,0.5941176528
i am in,17,0.2650000047
will be great,17,0.4022727326
that they are,17,-0.2882352918
- thank you!,17,0.3281250056
for our great,17,0.323529417
of our country,17,0.05384615637
america safe and,17,0.3117647127
safe and great,17,0.3117647127
of our great,17,0.2210526357
my thoughts and,17,0.2000000021
that there was,17,-0.2888888886
was no collusion,17,-0.3600000031
the trump campaign,17,-0.1555555604
to tune in,16,0.2416666715
and it is,16,0.1833333315
will be an,16,0.2272727311
as well as,16,0.3235294161
you can do,16,0.1562500051
talking about the,16,-0.1529411783
for the american,16,0.2249999982
my new book,16,0.1899999976
will continue to,16,0.1687499997
have to be,16,0.0625
we are making,16,0.2562500015
the great people,16,0.2500000051
we had a,16,0.1842105314
on @foxandfriends at,16,0.2500000023
to have a,16,0.129999999
the president of,16,0.1125000003
will only get,16,-0.1125000054
our country and,16,0.07500000345
millions of dollars,16,-0.4555555565
forward to meeting,16,0.3941176494
failing new york,16,-0.5312500009
for the nice,16,0.5625000056
- think like,16,0.3240000039
only one who,16,0.1500000032
just announced that,16,-0.08125000307
for president in,16,0.1625000006
@realdonaldtrump if you,16,0.02222222214
to go to,16,-0.04999999795
the u.s. has,16,-0.01874999981
all of those,16,0.03125000047
so true!,16,0.2166666703
@realdonaldtrump is the,16,0.2333333356
be allowed to,16,-0.1687499997
just landed in,16,0.1500000027
hillary clinton and,16,-0.1750000021
and total endorsement!,16,0.4937500064
the rigged witch,16,-0.4749999996
don't forget to,15,0.3533333406
