tag,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
PayToPlay,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,3,-0.7749798522136763,12778.666666666666,21516.333333333332,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Vote,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,1,0.34699141825049007,26.0,23.0,,,,,,,,,1,-0.2640526228942668,19.0,25.02,-0.537969126802967,26.5,30.0,,,,,,,,,",",,,,,,,,,1,-0.3814450749854661,27.0,54.0,,,1,0.8272545218781897,26.0,50.0,,,,,,,,,,,,,,,2,0.27232076647308934,17.0,42.0","2,0.5111427004965141,167.0,274.04,0.46488061173539097,26.0,55.751,0.7884967517010646,23.0,59.04,0.08212510044739002,17.0,42.254,-0.11438079942144863,29.0,75.53,0.3476762926295778,63.0,148.333333333333341,0.2984219142701381,147.0,507.02,-0.31946629352256406,763.5,1178.5,,,2,-0.46821775998574044,692.0,1427.51,0.10807730658564974,1339.0,3295.06,0.2717111121739905,1688.1666666666667,4244.333333333333","15,-0.01867011190800311,1746.3333333333333,4599.26666666666635,-0.0013935843086695027,2426.114285714286,6595.25714285714329,0.0415668244761811,4060.344827586207,11640.17241379310315,0.14363678369124694,3535.4,9458.66666666666610,-0.012771077851665247,3376.6,8991.11,0.2042101043398865,4094.0,13002.01,0.45424627932526906,12612.0,32053.01,-0.16781220154913257,5634.0,18833.03,-0.31738218240038907,7221.666666666667,20059.08,0.024425120970543,9821.0,23660.259,-0.02894511209372978,16932.555555555555,42736.555555555555,,,",",,,,,,,,,,,,,,,2,0.6086015618294424,8646.0,38681.0,,,,,,,,,1,-0.07474995219537206,19362.0,75135.0,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
NoClintonInWHEverAgain,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9216867407751477,1040.0,2321.0,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
TheTonightShow,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,1,-0.7221623770587136,3968.0,13639.0,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RIPEvelyn,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,1,-0.267032910544005,16876.0,56947.0,,,,,,,,,"
DT2016,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,3,0.2714292303513264,10.666666666666666,28.0,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
trainwreck,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,1,-0.1232738727168523,626.0,1186.0,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
tellsitlikeitis,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,1,-0.09093791540579677,8.0,13.0,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
someonepunchgeraldo,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1,0.20768836391907675,22.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
hired,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,1,0.6712293012214643,8.0,10.0,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
America,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,1,0.04454351842734039,96.0,133.01,-0.17300826891445364,29.0,11.0,,,1,0.13494523639536626,23.0,28.01,0.4810960343483468,355.0,188.01,0.06756873125883,33.0,39.0,,,,,,",",,,1,-0.8949636246397348,20.0,38.0,,,2,-0.05940110292697176,23.5,42.01,0.43171004272662694,18.0,28.0,,,1,-0.5737580867812258,25.0,41.01,0.7859340859076156,16.0,42.02,-0.05479022009482626,21.0,50.5,,,2,0.4609001252493713,32.0,56.51,0.1733847544220235,13.0,33.0",",,,2,-0.4014056208159624,100.5,156.52,0.7204270810402549,31.0,49.011,-0.3297801098046564,17.181818181818183,30.45454545454545310,-0.0855976367282059,22.5,49.433,0.17995001970181188,536.2727272727273,724.878787878787943,0.07840022798775402,466.06976744186045,950.348837209302434,-0.011581032787729751,860.7647058823529,1722.021,-0.06402738977529879,1509.4285714285713,2668.28571428571446,-0.07813524022576153,853.3478260869565,1703.978260869565251,-0.034456497907984995,1267.0588235294117,2668.019607843137265,0.04788592423664218,1723.3384615384616,4116.092307692307","37,-0.09348972593456098,1872.6216216216217,4795.567567567567549,0.023597880245552837,2753.530612244898,7245.18367346938845,0.013673603430521765,4385.733333333334,12166.95555555555647,-0.08917445477173623,4154.106382978724,11225.40425531914823,0.19371965081763368,4503.521739130435,12878.52173913043427,0.004015416807370366,4226.2962962962965,12986.55555555555534,-0.10877091346438694,6610.970588235294,19524.73529411764729,-0.07850829417585961,6356.413793103448,17815.4827586206939,0.14004722890069787,7784.641025641025,19923.2307692307724,-0.06407226391496858,9700.625,23692.0416666666685,0.292344587831464,13050.6,33225.43,0.25541402708680966,11329.666666666666,49758.0","1,0.6989249926982735,32181.0,139240.01,0.16745543995125112,20223.0,91381.03,-0.7740391901668676,13007.333333333334,60158.6666666666646,-0.47090303583812987,10063.666666666666,46443.5,,,10,-0.27006146082988935,15922.1,69870.95,-0.07460272323693498,17420.8,71977.82,-0.3064951956397668,15254.5,63447.02,-0.13921263801434935,15036.5,69479.51,0.938459875042402,12012.0,50369.01,0.9301820027419412,13228.0,72852.0,,,","2,-0.024481551835939364,32656.0,134231.01,-0.9481375336141309,14125.0,71183.02,-0.031078607397259206,13833.0,66633.0,,,,,,,,,1,-0.33044525569221017,17500.0,70437.02,-0.052805314232969414,14338.5,59650.01,0.05981979406421378,23283.0,86852.0,,,,,,,,,"
Vets,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,1,-0.6558650563291566,115.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,1,0.1499990204167867,155.0,221.01,0.5356175867773401,539.0,900.0,,,,,,,,,,,,1,-0.3923623361649551,3668.0,7152.0","1,0.7441063250433542,4713.0,11825.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Queens10k,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,1,-0.586952182189342,13.0,17.0,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
ThinkBigMakeitHappen,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,1,0.5849442599728893,58.0,138.0,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
LieOfTheYear,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-0.5168657564761732,34.0,20.0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
apprentice,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,1,-0.5836896318351945,33.0,8.0,,,,,,4,0.3208574048158314,20.25,6.0,,,,,,,,,,,,",",,,2,-0.45574671029113567,25.5,9.06,0.1812047243179694,39.166666666666664,13.013,0.35346632673434664,40.30769230769231,17.69230769230769316,-0.4553416546599519,30.5,8.43753,-0.48533304635089686,52.333333333333336,14.0,,,,,,,,,,,,,,,,,,",",,,,,,46,-0.016447395805984803,44.95652173913044,36.7826086956521772,0.01485813625013863,24.25,20.2511,-0.10209970978866649,47.0,35.01,-0.5732394333125579,6.0,5.01,-0.7643638852520467,9.0,17.0,,,2,0.5084896550705111,25.5,21.5,,,1,-0.2216314968840316,12.0,11.01,0.37443052631335894,9.0,19.0","1,0.8764052610718822,5.0,19.02,0.5208094319317184,17.0,26.05,0.6201882673484818,23.6,52.03,-0.10840573419207655,15.333333333333334,28.333333333333332,,,,,,,,,,,,,,,,,,5,0.04495896663984298,18.2,31.619,0.10428139491678397,21.263157894736842,49.0","105,-0.01403698048668991,16.6,44.7714285714285745,-0.05935455323438017,23.622222222222224,70.42,-0.19800221293919051,12.5,27.02,-0.8061809295921708,9.0,34.01,0.2449221728713944,9.0,19.0,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
FireBrianWilliams,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,1,-0.8131709276834,48.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
epicmoments,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.7290778176370205,6.0,10.0,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
NewJersey,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.8430322544511064,558.0,1314.0",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
CONCERNED,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,1,-0.209195263298803,9.0,6.0,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
mexicolovestrump,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.34618716915731595,687.0,1438.0,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
TrumpAdvice,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,1,-0.2726793215823329,21.0,15.0,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,2,-0.26293391388217224,40.0,53.0,,,2,0.42088165443848957,44.5,68.03,-0.5834315527456745,52.666666666666664,72.33333333333333,,,",",,,,,,,,,4,-0.24828479730371544,54.0,84.02,-0.02727273906128036,33.0,47.0,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
cspanwj,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,1,0.8931182206246897,15.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Trumptastic,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,1,0.46629606261216394,17.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
AmericaGreatAgain,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,1,-0.32174895755598576,48.0,51.0,,,6,0.0038804560982892053,20.166666666666668,34.8333333333333369,-0.08773867610745614,21.88888888888889,49.66666666666666429,0.19675854319041378,586.4137931034483,796.103448275862138,0.04065492653022986,503.36842105263156,1015.736842105263132,-0.02476390132949216,779.375,1612.7812519,-0.055774553098151596,1525.578947368421,2694.894736842105443,-0.0904698822552472,874.3953488372093,1752.023255813953545,-0.0032441052545489233,1338.8,2801.933333333333462,0.06769227417706393,1738.8709677419354,4132.919354838709","36,-0.12233372695173299,1838.138888888889,4698.97222222222349,0.023597880245552837,2753.530612244898,7245.18367346938844,-0.003710206412166325,4424.409090909091,12265.18181818181846,-0.10075924195122359,4163.804347826087,11261.47826086956622,0.158472144430124,4537.090909090909,12975.09,-0.21885735455527242,4351.333333333333,13403.22222222222312,0.231915824749352,7422.083333333333,22050.58333333333221,-0.11760511595452434,5954.476190476191,17798.3333333333329,0.2370023843565743,6138.888888888889,16250.77777777777712,-0.052481584453768215,10120.833333333334,25151.753,0.31629230857906704,11868.333333333334,29943.6666666666681,0.8214111962339767,6448.0,32116.0",",,,,,,1,-0.846074141781118,12385.0,55455.0,,,,,,1,-0.858588131373222,15089.0,73505.01,0.370007472498286,8443.0,48651.01,0.10826932387070154,8668.0,41238.0,,,,,,1,0.9301820027419412,13228.0,72852.0,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
PayMyBillsChallenge,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,1,-0.1987567196477209,41.0,33.0,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Wrestlemania4,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,1,0.020484687461302498,13.0,12.0,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Marine,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,4,-0.16928232878249794,298.25,215.07,0.413714911171335,331.2857142857143,267.142857142857171,0.7194863068880895,525.0,465.01,0.9011857559558694,510.0,471.03,-0.1336742328440801,299.6666666666667,297.66666666666674,0.35623719696279504,277.0,484.75,,,",",,,,,,,,,,,,1,0.7281670693877811,24.0,51.0,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,1,-0.4314103902159938,36263.0,148726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
